task_label,project,started_at,ended_at,duration_minutes
admin,Estudos,2025-01-18 16:30:00,2025-01-18 19:13:00,163
pesquisa,Portfolio,2025-01-18 17:00:00,2025-01-18 17:23:00,23
reuniao,Estudos,2025-01-18 17:30:00,2025-01-18 18:46:00,76
codando,Consultoria,2025-01-18 18:00:00,2025-01-18 20:12:00,132
codando,Financeiro pessoal,2025-01-18 18:30:00,2025-01-18 19:12:00,42
admin,Portfolio,2025-01-18 19:00:00,2025-01-18 21:23:00,143
reuniao,Estudos,2025-01-18 19:30:00,2025-01-18 21:46:00,136
admin,Portfolio,2025-01-18 20:00:00,2025-01-18 22:29:00,149
foco,Consultoria,2025-01-18 20:30:00,2025-01-18 22:16:00,106
pesquisa,Financeiro pessoal,2025-01-18 21:00:00,2025-01-18 23:53:00,173
reuniao,Portfolio,2025-01-18 21:30:00,2025-01-18 23:54:00,144
codando,Consultoria,2025-01-18 22:00:00,2025-01-19 00:10:00,130
admin,Consultoria,2025-01-18 22:30:00,2025-01-18 22:56:00,26
codando,Consultoria,2025-01-18 23:00:00,2025-01-19 00:03:00,63
reuniao,Estudos,2025-01-18 23:30:00,2025-01-19 01:42:00,132
codando,Trabalho,2025-01-19 00:00:00,2025-01-19 00:23:00,23
admin,Portfolio,2025-01-19 00:30:00,2025-01-19 02:47:00,137
admin,Trabalho,2025-01-19 01:00:00,2025-01-19 01:42:00,42
deep_work,Consultoria,2025-01-19 01:30:00,2025-01-19 04:22:00,172
codando,Trabalho,2025-01-19 02:00:00,2025-01-19 03:49:00,109
deep_work,Consultoria,2025-01-19 02:30:00,2025-01-19 04:21:00,111
deep_work,Consultoria,2025-01-19 03:00:00,2025-01-19 05:54:00,174
codando,Financeiro pessoal,2025-01-19 03:30:00,2025-01-19 04:40:00,70
reuniao,Financeiro pessoal,2025-01-19 04:00:00,2025-01-19 06:14:00,134
foco,Trabalho,2025-01-19 04:30:00,2025-01-19 06:10:00,100
admin,Portfolio,2025-01-19 05:00:00,2025-01-19 07:02:00,122
pesquisa,Trabalho,2025-01-19 05:30:00,2025-01-19 07:09:00,99
deep_work,Portfolio,2025-01-19 06:00:00,2025-01-19 08:50:00,170
reuniao,Trabalho,2025-01-19 06:30:00,2025-01-19 08:32:00,122
codando,Estudos,2025-01-19 07:00:00,2025-01-19 07:28:00,28
reuniao,Estudos,2025-01-19 07:30:00,2025-01-19 08:22:00,52
reuniao,Portfolio,2025-01-19 08:00:00,2025-01-19 08:54:00,54
codando,Financeiro pessoal,2025-01-19 08:30:00,2025-01-19 09:39:00,69
pesquisa,Portfolio,2025-01-19 09:00:00,2025-01-19 09:43:00,43
codando,Trabalho,2025-01-19 09:30:00,2025-01-19 12:21:00,171
pesquisa,Consultoria,2025-01-19 10:00:00,2025-01-19 12:46:00,166
codando,Estudos,2025-01-19 10:30:00,2025-01-19 11:28:00,58
deep_work,Consultoria,2025-01-19 11:00:00,2025-01-19 11:44:00,44
pesquisa,Estudos,2025-01-19 11:30:00,2025-01-19 14:22:00,172
deep_work,Trabalho,2025-01-19 12:00:00,2025-01-19 14:54:00,174
pesquisa,Estudos,2025-01-19 12:30:00,2025-01-19 13:21:00,51
pesquisa,Portfolio,2025-01-19 13:00:00,2025-01-19 15:38:00,158
codando,Consultoria,2025-01-19 13:30:00,2025-01-19 15:37:00,127
pesquisa,Consultoria,2025-01-19 14:00:00,2025-01-19 14:52:00,52
deep_work,Trabalho,2025-01-19 14:30:00,2025-01-19 17:16:00,166
codando,Consultoria,2025-01-19 15:00:00,2025-01-19 17:06:00,126
admin,Trabalho,2025-01-19 15:30:00,2025-01-19 17:40:00,130
deep_work,Financeiro pessoal,2025-01-19 16:00:00,2025-01-19 18:20:00,140
admin,Portfolio,2025-01-19 16:30:00,2025-01-19 17:05:00,35
reuniao,Estudos,2025-01-19 17:00:00,2025-01-19 17:30:00,30
codando,Estudos,2025-01-19 17:30:00,2025-01-19 19:27:00,117
reuniao,Estudos,2025-01-19 18:00:00,2025-01-19 20:15:00,135
codando,Financeiro pessoal,2025-01-19 18:30:00,2025-01-19 19:14:00,44
codando,Portfolio,2025-01-19 19:00:00,2025-01-19 20:52:00,112
deep_work,Consultoria,2025-01-19 19:30:00,2025-01-19 21:40:00,130
admin,Consultoria,2025-01-19 20:00:00,2025-01-19 21:55:00,115
codando,Portfolio,2025-01-19 20:30:00,2025-01-19 21:01:00,31
admin,Portfolio,2025-01-19 21:00:00,2025-01-19 21:40:00,40
codando,Estudos,2025-01-19 21:30:00,2025-01-19 23:56:00,146
admin,Consultoria,2025-01-19 22:00:00,2025-01-19 22:48:00,48
reuniao,Portfolio,2025-01-19 22:30:00,2025-01-20 00:50:00,140
deep_work,Consultoria,2025-01-19 23:00:00,2025-01-20 01:23:00,143
codando,Portfolio,2025-01-19 23:30:00,2025-01-20 02:20:00,170
foco,Trabalho,2025-01-20 00:00:00,2025-01-20 00:52:00,52
admin,Estudos,2025-01-20 00:30:00,2025-01-20 03:05:00,155
admin,Portfolio,2025-01-20 01:00:00,2025-01-20 02:36:00,96
foco,Financeiro pessoal,2025-01-20 01:30:00,2025-01-20 02:30:00,60
deep_work,Portfolio,2025-01-20 02:00:00,2025-01-20 03:33:00,93
admin,Trabalho,2025-01-20 02:30:00,2025-01-20 03:52:00,82
deep_work,Financeiro pessoal,2025-01-20 03:00:00,2025-01-20 03:33:00,33
admin,Financeiro pessoal,2025-01-20 03:30:00,2025-01-20 05:04:00,94
pesquisa,Portfolio,2025-01-20 04:00:00,2025-01-20 05:26:00,86
admin,Trabalho,2025-01-20 04:30:00,2025-01-20 06:22:00,112
pesquisa,Financeiro pessoal,2025-01-20 05:00:00,2025-01-20 06:12:00,72
codando,Estudos,2025-01-20 05:30:00,2025-01-20 07:23:00,113
deep_work,Estudos,2025-01-20 06:00:00,2025-01-20 08:12:00,132
admin,Consultoria,2025-01-20 06:30:00,2025-01-20 09:04:00,154
reuniao,Consultoria,2025-01-20 07:00:00,2025-01-20 07:30:00,30
reuniao,Trabalho,2025-01-20 07:30:00,2025-01-20 08:14:00,44
foco,Financeiro pessoal,2025-01-20 08:00:00,2025-01-20 10:54:00,174
reuniao,Estudos,2025-01-20 08:30:00,2025-01-20 10:12:00,102
pesquisa,Estudos,2025-01-20 09:00:00,2025-01-20 10:52:00,112
reuniao,Trabalho,2025-01-20 09:30:00,2025-01-20 12:08:00,158
reuniao,Financeiro pessoal,2025-01-20 10:00:00,2025-01-20 11:14:00,74
reuniao,Trabalho,2025-01-20 10:30:00,2025-01-20 11:08:00,38
admin,Portfolio,2025-01-20 11:00:00,2025-01-20 12:51:00,111
foco,Estudos,2025-01-20 11:30:00,2025-01-20 13:19:00,109
deep_work,Trabalho,2025-01-20 12:00:00,2025-01-20 12:30:00,30
foco,Trabalho,2025-01-20 12:30:00,2025-01-20 15:11:00,161
pesquisa,Portfolio,2025-01-20 13:00:00,2025-01-20 14:19:00,79
admin,Consultoria,2025-01-20 13:30:00,2025-01-20 14:30:00,60
codando,Estudos,2025-01-20 14:00:00,2025-01-20 16:29:00,149
admin,Trabalho,2025-01-20 14:30:00,2025-01-20 16:36:00,126
reuniao,Estudos,2025-01-20 15:00:00,2025-01-20 16:19:00,79
reuniao,Consultoria,2025-01-20 15:30:00,2025-01-20 18:17:00,167
pesquisa,Trabalho,2025-01-20 16:00:00,2025-01-20 16:41:00,41
codando,Portfolio,2025-01-20 16:30:00,2025-01-20 18:57:00,147
admin,Estudos,2025-01-20 17:00:00,2025-01-20 19:25:00,145
codando,Portfolio,2025-01-20 17:30:00,2025-01-20 19:32:00,122
deep_work,Consultoria,2025-01-20 18:00:00,2025-01-20 20:31:00,151
foco,Consultoria,2025-01-20 18:30:00,2025-01-20 20:39:00,129
admin,Estudos,2025-01-20 19:00:00,2025-01-20 20:17:00,77
codando,Consultoria,2025-01-20 19:30:00,2025-01-20 20:54:00,84
deep_work,Financeiro pessoal,2025-01-20 20:00:00,2025-01-20 21:17:00,77
deep_work,Estudos,2025-01-20 20:30:00,2025-01-20 23:27:00,177
foco,Financeiro pessoal,2025-01-20 21:00:00,2025-01-20 22:35:00,95
deep_work,Consultoria,2025-01-20 21:30:00,2025-01-20 22:08:00,38
pesquisa,Estudos,2025-01-20 22:00:00,2025-01-21 00:27:00,147
deep_work,Financeiro pessoal,2025-01-20 22:30:00,2025-01-21 00:33:00,123
codando,Consultoria,2025-01-20 23:00:00,2025-01-21 01:06:00,126
pesquisa,Trabalho,2025-01-20 23:30:00,2025-01-21 01:47:00,137
deep_work,Trabalho,2025-01-21 00:00:00,2025-01-21 01:38:00,98
reuniao,Portfolio,2025-01-21 00:30:00,2025-01-21 02:13:00,103
deep_work,Trabalho,2025-01-21 01:00:00,2025-01-21 03:17:00,137
pesquisa,Financeiro pessoal,2025-01-21 01:30:00,2025-01-21 04:18:00,168
deep_work,Trabalho,2025-01-21 02:00:00,2025-01-21 02:29:00,29
deep_work,Estudos,2025-01-21 02:30:00,2025-01-21 03:19:00,49
deep_work,Estudos,2025-01-21 03:00:00,2025-01-21 03:43:00,43
pesquisa,Estudos,2025-01-21 03:30:00,2025-01-21 04:44:00,74
deep_work,Trabalho,2025-01-21 04:00:00,2025-01-21 06:03:00,123
foco,Trabalho,2025-01-21 04:30:00,2025-01-21 06:56:00,146
codando,Portfolio,2025-01-21 05:00:00,2025-01-21 07:24:00,144
foco,Consultoria,2025-01-21 05:30:00,2025-01-21 07:22:00,112
pesquisa,Portfolio,2025-01-21 06:00:00,2025-01-21 06:27:00,27
reuniao,Financeiro pessoal,2025-01-21 06:30:00,2025-01-21 09:26:00,176
foco,Estudos,2025-01-21 07:00:00,2025-01-21 09:37:00,157
codando,Trabalho,2025-01-21 07:30:00,2025-01-21 09:04:00,94
admin,Consultoria,2025-01-21 08:00:00,2025-01-21 08:59:00,59
codando,Consultoria,2025-01-21 08:30:00,2025-01-21 11:09:00,159
foco,Trabalho,2025-01-21 09:00:00,2025-01-21 10:44:00,104
admin,Portfolio,2025-01-21 09:30:00,2025-01-21 10:05:00,35
pesquisa,Consultoria,2025-01-21 10:00:00,2025-01-21 11:37:00,97
codando,Portfolio,2025-01-21 10:30:00,2025-01-21 11:37:00,67
reuniao,Trabalho,2025-01-21 11:00:00,2025-01-21 12:50:00,110
admin,Portfolio,2025-01-21 11:30:00,2025-01-21 13:58:00,148
admin,Estudos,2025-01-21 12:00:00,2025-01-21 12:41:00,41
codando,Trabalho,2025-01-21 12:30:00,2025-01-21 15:12:00,162
foco,Trabalho,2025-01-21 13:00:00,2025-01-21 13:33:00,33
admin,Consultoria,2025-01-21 13:30:00,2025-01-21 15:02:00,92
pesquisa,Consultoria,2025-01-21 14:00:00,2025-01-21 14:38:00,38
codando,Consultoria,2025-01-21 14:30:00,2025-01-21 15:29:00,59
pesquisa,Estudos,2025-01-21 15:00:00,2025-01-21 16:57:00,117
codando,Estudos,2025-01-21 15:30:00,2025-01-21 15:53:00,23
pesquisa,Financeiro pessoal,2025-01-21 16:00:00,2025-01-21 16:52:00,52
foco,Trabalho,2025-01-21 16:30:00,2025-01-21 17:32:00,62
codando,Consultoria,2025-01-21 17:00:00,2025-01-21 17:46:00,46
reuniao,Trabalho,2025-01-21 17:30:00,2025-01-21 19:10:00,100
foco,Portfolio,2025-01-21 18:00:00,2025-01-21 20:12:00,132
pesquisa,Estudos,2025-01-21 18:30:00,2025-01-21 20:46:00,136
codando,Financeiro pessoal,2025-01-21 19:00:00,2025-01-21 21:23:00,143
foco,Portfolio,2025-01-21 19:30:00,2025-01-21 21:24:00,114
pesquisa,Trabalho,2025-01-21 20:00:00,2025-01-21 21:22:00,82
deep_work,Estudos,2025-01-21 20:30:00,2025-01-21 23:03:00,153
deep_work,Consultoria,2025-01-21 21:00:00,2025-01-21 23:23:00,143
admin,Portfolio,2025-01-21 21:30:00,2025-01-21 23:45:00,135
reuniao,Estudos,2025-01-21 22:00:00,2025-01-21 23:54:00,114
deep_work,Trabalho,2025-01-21 22:30:00,2025-01-21 23:56:00,86
pesquisa,Trabalho,2025-01-21 23:00:00,2025-01-22 00:56:00,116
foco,Portfolio,2025-01-21 23:30:00,2025-01-22 01:45:00,135
codando,Portfolio,2025-01-22 00:00:00,2025-01-22 00:32:00,32
foco,Portfolio,2025-01-22 00:30:00,2025-01-22 03:18:00,168
admin,Financeiro pessoal,2025-01-22 01:00:00,2025-01-22 02:23:00,83
foco,Consultoria,2025-01-22 01:30:00,2025-01-22 03:14:00,104
deep_work,Estudos,2025-01-22 02:00:00,2025-01-22 03:15:00,75
foco,Trabalho,2025-01-22 02:30:00,2025-01-22 05:10:00,160
deep_work,Trabalho,2025-01-22 03:00:00,2025-01-22 05:31:00,151
deep_work,Consultoria,2025-01-22 03:30:00,2025-01-22 05:41:00,131
reuniao,Portfolio,2025-01-22 04:00:00,2025-01-22 04:52:00,52
admin,Portfolio,2025-01-22 04:30:00,2025-01-22 05:42:00,72
pesquisa,Trabalho,2025-01-22 05:00:00,2025-01-22 07:00:00,120
deep_work,Consultoria,2025-01-22 05:30:00,2025-01-22 08:21:00,171
codando,Trabalho,2025-01-22 06:00:00,2025-01-22 07:48:00,108
admin,Portfolio,2025-01-22 06:30:00,2025-01-22 07:18:00,48
pesquisa,Estudos,2025-01-22 07:00:00,2025-01-22 08:10:00,70
codando,Portfolio,2025-01-22 07:30:00,2025-01-22 08:39:00,69
foco,Estudos,2025-01-22 08:00:00,2025-01-22 10:10:00,130
admin,Financeiro pessoal,2025-01-22 08:30:00,2025-01-22 09:25:00,55
codando,Consultoria,2025-01-22 09:00:00,2025-01-22 11:08:00,128
admin,Financeiro pessoal,2025-01-22 09:30:00,2025-01-22 10:49:00,79
admin,Portfolio,2025-01-22 10:00:00,2025-01-22 12:45:00,165
foco,Consultoria,2025-01-22 10:30:00,2025-01-22 11:09:00,39
foco,Portfolio,2025-01-22 11:00:00,2025-01-22 13:32:00,152
admin,Consultoria,2025-01-22 11:30:00,2025-01-22 14:15:00,165
codando,Consultoria,2025-01-22 12:00:00,2025-01-22 14:23:00,143
reuniao,Portfolio,2025-01-22 12:30:00,2025-01-22 12:50:00,20
deep_work,Portfolio,2025-01-22 13:00:00,2025-01-22 13:38:00,38
foco,Consultoria,2025-01-22 13:30:00,2025-01-22 15:16:00,106
reuniao,Consultoria,2025-01-22 14:00:00,2025-01-22 16:53:00,173
foco,Portfolio,2025-01-22 14:30:00,2025-01-22 15:18:00,48
admin,Portfolio,2025-01-22 15:00:00,2025-01-22 16:18:00,78
reuniao,Trabalho,2025-01-22 15:30:00,2025-01-22 16:52:00,82
codando,Trabalho,2025-01-22 16:00:00,2025-01-22 17:57:00,117
codando,Trabalho,2025-01-22 16:30:00,2025-01-22 17:37:00,67
pesquisa,Financeiro pessoal,2025-01-22 17:00:00,2025-01-22 18:21:00,81
deep_work,Consultoria,2025-01-22 17:30:00,2025-01-22 18:07:00,37
deep_work,Estudos,2025-01-22 18:00:00,2025-01-22 18:46:00,46
foco,Financeiro pessoal,2025-01-22 18:30:00,2025-01-22 18:55:00,25
deep_work,Consultoria,2025-01-22 19:00:00,2025-01-22 19:25:00,25
pesquisa,Estudos,2025-01-22 19:30:00,2025-01-22 20:20:00,50
codando,Trabalho,2025-01-22 20:00:00,2025-01-22 22:04:00,124
reuniao,Estudos,2025-01-22 20:30:00,2025-01-22 22:23:00,113
reuniao,Portfolio,2025-01-22 21:00:00,2025-01-22 22:15:00,75
codando,Portfolio,2025-01-22 21:30:00,2025-01-22 22:07:00,37
admin,Consultoria,2025-01-22 22:00:00,2025-01-22 23:46:00,106
codando,Financeiro pessoal,2025-01-22 22:30:00,2025-01-22 23:12:00,42
reuniao,Trabalho,2025-01-22 23:00:00,2025-01-22 23:44:00,44
foco,Consultoria,2025-01-22 23:30:00,2025-01-22 23:56:00,26
pesquisa,Trabalho,2025-01-23 00:00:00,2025-01-23 02:47:00,167
codando,Portfolio,2025-01-23 00:30:00,2025-01-23 03:02:00,152
admin,Financeiro pessoal,2025-01-23 01:00:00,2025-01-23 01:37:00,37
foco,Financeiro pessoal,2025-01-23 01:30:00,2025-01-23 03:35:00,125
codando,Portfolio,2025-01-23 02:00:00,2025-01-23 02:52:00,52
foco,Estudos,2025-01-23 02:30:00,2025-01-23 04:08:00,98
codando,Financeiro pessoal,2025-01-23 03:00:00,2025-01-23 03:54:00,54
foco,Estudos,2025-01-23 03:30:00,2025-01-23 05:39:00,129
deep_work,Trabalho,2025-01-23 04:00:00,2025-01-23 05:24:00,84
foco,Financeiro pessoal,2025-01-23 04:30:00,2025-01-23 05:52:00,82
deep_work,Portfolio,2025-01-23 05:00:00,2025-01-23 06:31:00,91
reuniao,Estudos,2025-01-23 05:30:00,2025-01-23 06:30:00,60
deep_work,Trabalho,2025-01-23 06:00:00,2025-01-23 08:27:00,147
foco,Trabalho,2025-01-23 06:30:00,2025-01-23 08:37:00,127
pesquisa,Financeiro pessoal,2025-01-23 07:00:00,2025-01-23 09:03:00,123
pesquisa,Financeiro pessoal,2025-01-23 07:30:00,2025-01-23 10:27:00,177
reuniao,Consultoria,2025-01-23 08:00:00,2025-01-23 08:57:00,57
foco,Consultoria,2025-01-23 08:30:00,2025-01-23 09:24:00,54
deep_work,Financeiro pessoal,2025-01-23 09:00:00,2025-01-23 11:35:00,155
pesquisa,Consultoria,2025-01-23 09:30:00,2025-01-23 11:31:00,121
codando,Portfolio,2025-01-23 10:00:00,2025-01-23 11:27:00,87
admin,Portfolio,2025-01-23 10:30:00,2025-01-23 11:26:00,56
foco,Consultoria,2025-01-23 11:00:00,2025-01-23 12:44:00,104
codando,Financeiro pessoal,2025-01-23 11:30:00,2025-01-23 14:10:00,160
codando,Portfolio,2025-01-23 12:00:00,2025-01-23 12:48:00,48
foco,Trabalho,2025-01-23 12:30:00,2025-01-23 13:30:00,60
admin,Financeiro pessoal,2025-01-23 13:00:00,2025-01-23 14:15:00,75
pesquisa,Estudos,2025-01-23 13:30:00,2025-01-23 14:05:00,35
admin,Estudos,2025-01-23 14:00:00,2025-01-23 16:39:00,159
reuniao,Financeiro pessoal,2025-01-23 14:30:00,2025-01-23 15:55:00,85
deep_work,Consultoria,2025-01-23 15:00:00,2025-01-23 17:46:00,166
deep_work,Portfolio,2025-01-23 15:30:00,2025-01-23 18:27:00,177
codando,Portfolio,2025-01-23 16:00:00,2025-01-23 18:43:00,163
pesquisa,Financeiro pessoal,2025-01-23 16:30:00,2025-01-23 19:10:00,160
admin,Trabalho,2025-01-23 17:00:00,2025-01-23 18:28:00,88
codando,Consultoria,2025-01-23 17:30:00,2025-01-23 18:12:00,42
foco,Trabalho,2025-01-23 18:00:00,2025-01-23 20:58:00,178
codando,Financeiro pessoal,2025-01-23 18:30:00,2025-01-23 19:42:00,72
foco,Financeiro pessoal,2025-01-23 19:00:00,2025-01-23 21:19:00,139
foco,Trabalho,2025-01-23 19:30:00,2025-01-23 22:14:00,164
reuniao,Estudos,2025-01-23 20:00:00,2025-01-23 22:27:00,147
reuniao,Financeiro pessoal,2025-01-23 20:30:00,2025-01-23 21:38:00,68
foco,Consultoria,2025-01-23 21:00:00,2025-01-23 23:53:00,173
pesquisa,Trabalho,2025-01-23 21:30:00,2025-01-23 22:02:00,32
reuniao,Estudos,2025-01-23 22:00:00,2025-01-24 00:07:00,127
reuniao,Trabalho,2025-01-23 22:30:00,2025-01-24 01:19:00,169
deep_work,Estudos,2025-01-23 23:00:00,2025-01-24 00:44:00,104
codando,Estudos,2025-01-23 23:30:00,2025-01-24 02:26:00,176
deep_work,Consultoria,2025-01-24 00:00:00,2025-01-24 01:04:00,64
pesquisa,Financeiro pessoal,2025-01-24 00:30:00,2025-01-24 02:11:00,101
reuniao,Estudos,2025-01-24 01:00:00,2025-01-24 02:27:00,87
reuniao,Financeiro pessoal,2025-01-24 01:30:00,2025-01-24 03:26:00,116
admin,Consultoria,2025-01-24 02:00:00,2025-01-24 04:47:00,167
pesquisa,Financeiro pessoal,2025-01-24 02:30:00,2025-01-24 04:06:00,96
codando,Portfolio,2025-01-24 03:00:00,2025-01-24 03:54:00,54
codando,Estudos,2025-01-24 03:30:00,2025-01-24 06:05:00,155
codando,Consultoria,2025-01-24 04:00:00,2025-01-24 05:11:00,71
pesquisa,Trabalho,2025-01-24 04:30:00,2025-01-24 05:29:00,59
admin,Consultoria,2025-01-24 05:00:00,2025-01-24 07:20:00,140
admin,Estudos,2025-01-24 05:30:00,2025-01-24 07:42:00,132
deep_work,Consultoria,2025-01-24 06:00:00,2025-01-24 08:10:00,130
pesquisa,Trabalho,2025-01-24 06:30:00,2025-01-24 07:25:00,55
pesquisa,Portfolio,2025-01-24 07:00:00,2025-01-24 09:33:00,153
admin,Estudos,2025-01-24 07:30:00,2025-01-24 08:59:00,89
foco,Estudos,2025-01-24 08:00:00,2025-01-24 09:32:00,92
foco,Consultoria,2025-01-24 08:30:00,2025-01-24 09:05:00,35
deep_work,Financeiro pessoal,2025-01-24 09:00:00,2025-01-24 09:57:00,57
foco,Financeiro pessoal,2025-01-24 09:30:00,2025-01-24 10:07:00,37
foco,Trabalho,2025-01-24 10:00:00,2025-01-24 10:31:00,31
foco,Portfolio,2025-01-24 10:30:00,2025-01-24 11:43:00,73
reuniao,Portfolio,2025-01-24 11:00:00,2025-01-24 11:20:00,20
deep_work,Consultoria,2025-01-24 11:30:00,2025-01-24 14:12:00,162
admin,Consultoria,2025-01-24 12:00:00,2025-01-24 14:10:00,130
foco,Financeiro pessoal,2025-01-24 12:30:00,2025-01-24 13:10:00,40
codando,Portfolio,2025-01-24 13:00:00,2025-01-24 15:28:00,148
reuniao,Portfolio,2025-01-24 13:30:00,2025-01-24 15:22:00,112
foco,Portfolio,2025-01-24 14:00:00,2025-01-24 16:39:00,159
reuniao,Trabalho,2025-01-24 14:30:00,2025-01-24 16:53:00,143
deep_work,Trabalho,2025-01-24 15:00:00,2025-01-24 17:55:00,175
codando,Consultoria,2025-01-24 15:30:00,2025-01-24 16:28:00,58
codando,Financeiro pessoal,2025-01-24 16:00:00,2025-01-24 17:19:00,79
codando,Estudos,2025-01-24 16:30:00,2025-01-24 19:28:00,178
foco,Financeiro pessoal,2025-01-24 17:00:00,2025-01-24 18:56:00,116
reuniao,Trabalho,2025-01-24 17:30:00,2025-01-24 19:33:00,123
codando,Trabalho,2025-01-24 18:00:00,2025-01-24 20:38:00,158
pesquisa,Consultoria,2025-01-24 18:30:00,2025-01-24 20:39:00,129
pesquisa,Estudos,2025-01-24 19:00:00,2025-01-24 19:48:00,48
reuniao,Portfolio,2025-01-24 19:30:00,2025-01-24 21:18:00,108
foco,Estudos,2025-01-24 20:00:00,2025-01-24 22:18:00,138
foco,Estudos,2025-01-24 20:30:00,2025-01-24 23:10:00,160
deep_work,Estudos,2025-01-24 21:00:00,2025-01-24 22:10:00,70
deep_work,Consultoria,2025-01-24 21:30:00,2025-01-24 23:37:00,127
codando,Trabalho,2025-01-24 22:00:00,2025-01-25 00:46:00,166
admin,Portfolio,2025-01-24 22:30:00,2025-01-24 23:47:00,77
deep_work,Estudos,2025-01-24 23:00:00,2025-01-24 23:55:00,55
foco,Portfolio,2025-01-24 23:30:00,2025-01-25 00:17:00,47
admin,Estudos,2025-01-25 00:00:00,2025-01-25 02:30:00,150
deep_work,Trabalho,2025-01-25 00:30:00,2025-01-25 02:30:00,120
reuniao,Portfolio,2025-01-25 01:00:00,2025-01-25 03:06:00,126
pesquisa,Financeiro pessoal,2025-01-25 01:30:00,2025-01-25 03:18:00,108
deep_work,Trabalho,2025-01-25 02:00:00,2025-01-25 02:54:00,54
deep_work,Portfolio,2025-01-25 02:30:00,2025-01-25 04:22:00,112
reuniao,Estudos,2025-01-25 03:00:00,2025-01-25 05:04:00,124
foco,Estudos,2025-01-25 03:30:00,2025-01-25 05:05:00,95
codando,Trabalho,2025-01-25 04:00:00,2025-01-25 05:43:00,103
reuniao,Trabalho,2025-01-25 04:30:00,2025-01-25 06:05:00,95
codando,Estudos,2025-01-25 05:00:00,2025-01-25 06:09:00,69
deep_work,Portfolio,2025-01-25 05:30:00,2025-01-25 07:29:00,119
foco,Financeiro pessoal,2025-01-25 06:00:00,2025-01-25 08:57:00,177
admin,Consultoria,2025-01-25 06:30:00,2025-01-25 08:01:00,91
deep_work,Trabalho,2025-01-25 07:00:00,2025-01-25 09:14:00,134
reuniao,Estudos,2025-01-25 07:30:00,2025-01-25 09:06:00,96
admin,Portfolio,2025-01-25 08:00:00,2025-01-25 10:20:00,140
pesquisa,Trabalho,2025-01-25 08:30:00,2025-01-25 09:43:00,73
admin,Portfolio,2025-01-25 09:00:00,2025-01-25 10:30:00,90
reuniao,Trabalho,2025-01-25 09:30:00,2025-01-25 11:14:00,104
admin,Estudos,2025-01-25 10:00:00,2025-01-25 12:01:00,121
reuniao,Portfolio,2025-01-25 10:30:00,2025-01-25 12:36:00,126
deep_work,Estudos,2025-01-25 11:00:00,2025-01-25 11:47:00,47
foco,Portfolio,2025-01-25 11:30:00,2025-01-25 13:37:00,127
pesquisa,Trabalho,2025-01-25 12:00:00,2025-01-25 12:40:00,40
foco,Consultoria,2025-01-25 12:30:00,2025-01-25 15:24:00,174
foco,Consultoria,2025-01-25 13:00:00,2025-01-25 13:46:00,46
foco,Financeiro pessoal,2025-01-25 13:30:00,2025-01-25 15:06:00,96
reuniao,Financeiro pessoal,2025-01-25 14:00:00,2025-01-25 15:09:00,69
reuniao,Estudos,2025-01-25 14:30:00,2025-01-25 17:26:00,176
pesquisa,Portfolio,2025-01-25 15:00:00,2025-01-25 16:16:00,76
reuniao,Financeiro pessoal,2025-01-25 15:30:00,2025-01-25 17:48:00,138
codando,Trabalho,2025-01-25 16:00:00,2025-01-25 17:23:00,83
reuniao,Consultoria,2025-01-25 16:30:00,2025-01-25 17:37:00,67
reuniao,Portfolio,2025-01-25 17:00:00,2025-01-25 19:49:00,169
reuniao,Consultoria,2025-01-25 17:30:00,2025-01-25 20:27:00,177
deep_work,Portfolio,2025-01-25 18:00:00,2025-01-25 20:55:00,175
pesquisa,Financeiro pessoal,2025-01-25 18:30:00,2025-01-25 21:20:00,170
codando,Financeiro pessoal,2025-01-25 19:00:00,2025-01-25 19:23:00,23
reuniao,Estudos,2025-01-25 19:30:00,2025-01-25 22:00:00,150
pesquisa,Portfolio,2025-01-25 20:00:00,2025-01-25 21:20:00,80
admin,Trabalho,2025-01-25 20:30:00,2025-01-25 22:25:00,115
deep_work,Financeiro pessoal,2025-01-25 21:00:00,2025-01-25 21:23:00,23
reuniao,Estudos,2025-01-25 21:30:00,2025-01-25 22:54:00,84
codando,Financeiro pessoal,2025-01-25 22:00:00,2025-01-26 00:39:00,159
deep_work,Consultoria,2025-01-25 22:30:00,2025-01-26 01:10:00,160
codando,Financeiro pessoal,2025-01-25 23:00:00,2025-01-26 01:23:00,143
deep_work,Portfolio,2025-01-25 23:30:00,2025-01-26 01:22:00,112
admin,Estudos,2025-01-26 00:00:00,2025-01-26 00:50:00,50
pesquisa,Portfolio,2025-01-26 00:30:00,2025-01-26 02:00:00,90
deep_work,Trabalho,2025-01-26 01:00:00,2025-01-26 03:40:00,160
foco,Trabalho,2025-01-26 01:30:00,2025-01-26 01:51:00,21
admin,Financeiro pessoal,2025-01-26 02:00:00,2025-01-26 03:09:00,69
foco,Estudos,2025-01-26 02:30:00,2025-01-26 05:04:00,154
admin,Estudos,2025-01-26 03:00:00,2025-01-26 05:45:00,165
foco,Estudos,2025-01-26 03:30:00,2025-01-26 03:57:00,27
foco,Estudos,2025-01-26 04:00:00,2025-01-26 05:14:00,74
codando,Financeiro pessoal,2025-01-26 04:30:00,2025-01-26 05:32:00,62
deep_work,Portfolio,2025-01-26 05:00:00,2025-01-26 05:49:00,49
