date,category,description,amount
2028-05-10,saude,Restaurante,369.56
2028-05-11,saude,Taxi/Uber,327.33
2028-05-12,alimentacao,Compra,311.74
2028-05-13,assinaturas,Mercado,248.55
2028-05-14,saude,Restaurante,159.46
2028-05-15,lazer,Compra,377.44
2028-05-16,alimentacao,Assinatura mensal,387.18
2028-05-17,alimentacao,Compra,27.03
2028-05-18,alimentacao,Mercado,182.39
2028-05-19,lazer,Taxi/Uber,16.85
2028-05-20,lazer,Mercado,378.57
2028-05-21,transporte,Farmácia,83.81
2028-05-22,mercado,Restaurante,304.87
2028-05-23,assinaturas,Restaurante,164.03
2028-05-24,mercado,Restaurante,368.15
2028-05-25,alimentacao,Farmácia,231.81
2028-05-26,saude,Farmácia,149.36
2028-05-27,alimentacao,Taxi/Uber,149.12
2028-05-28,saude,Restaurante,150.48
2028-05-29,transporte,Mercado,355.92
2028-05-30,mercado,Farmácia,321.45
2028-05-31,alimentacao,Mercado,147.05
2028-06-01,mercado,Assinatura mensal,223.14
2028-06-02,transporte,Restaurante,38.89
2028-06-03,mercado,Farmácia,373.24
2028-06-04,saude,Farmácia,123.35
2028-06-05,assinaturas,Taxi/Uber,400.71
2028-06-06,transporte,Mercado,270.57
2028-06-07,mercado,Taxi/Uber,257.68
2028-06-08,alimentacao,Taxi/Uber,77.41
2028-06-09,lazer,Mercado,35.94
2028-06-10,lazer,Assinatura mensal,250.91
2028-06-11,transporte,Mercado,213.26
2028-06-12,lazer,Assinatura mensal,58.26
2028-06-13,assinaturas,Taxi/Uber,376.84
2028-06-14,transporte,Assinatura mensal,190.67
2028-06-15,alimentacao,Restaurante,120.9
2028-06-16,alimentacao,Assinatura mensal,355.78
2028-06-17,transporte,Assinatura mensal,411.31
2028-06-18,lazer,Farmácia,141.15
2028-06-19,lazer,Farmácia,350.3
2028-06-20,alimentacao,Taxi/Uber,295.37
2028-06-21,assinaturas,Mercado,445.43
2028-06-22,saude,Assinatura mensal,95.78
2028-06-23,lazer,Restaurante,432.5
2028-06-24,assinaturas,Farmácia,145.3
2028-06-25,lazer,Mercado,188.32
2028-06-26,saude,Restaurante,164.68
2028-06-27,transporte,Assinatura mensal,124.46
2028-06-28,mercado,Mercado,313.48
2028-06-29,alimentacao,Restaurante,267.17
2028-06-30,transporte,Compra,141.03
2028-07-01,lazer,Restaurante,63.83
2028-07-02,saude,Restaurante,146.23
2028-07-03,alimentacao,Assinatura mensal,174.65
2028-07-04,mercado,Mercado,174.39
2028-07-05,mercado,Assinatura mensal,163.98
2028-07-06,saude,Assinatura mensal,26.68
2028-07-07,saude,Compra,211.49
2028-07-08,lazer,Restaurante,377.11
2028-07-09,alimentacao,Mercado,85.26
2028-07-10,lazer,Taxi/Uber,69.82
2028-07-11,mercado,Farmácia,214.97
2028-07-12,transporte,Assinatura mensal,169.92
2028-07-13,transporte,Assinatura mensal,254.77
2028-07-14,assinaturas,Assinatura mensal,426.45
2028-07-15,mercado,Assinatura mensal,343.59
2028-07-16,mercado,Farmácia,310.74
2028-07-17,lazer,Taxi/Uber,190.09
2028-07-18,assinaturas,Compra,132.88
2028-07-19,saude,Taxi/Uber,245.42
2028-07-20,assinaturas,Farmácia,399.02
2028-07-21,alimentacao,Mercado,395.15
2028-07-22,lazer,Compra,203.25
2028-07-23,saude,Compra,114.57
2028-07-24,saude,Mercado,105.28
2028-07-25,transporte,Restaurante,20.12
2028-07-26,alimentacao,Assinatura mensal,379.99
2028-07-27,assinaturas,Farmácia,122.85
2028-07-28,transporte,Mercado,164.75
2028-07-29,mercado,Taxi/Uber,365.1
2028-07-30,lazer,Taxi/Uber,58.41
2028-07-31,assinaturas,Restaurante,210.25
2028-08-01,mercado,Mercado,59.44
2028-08-02,saude,Farmácia,201.62
2028-08-03,assinaturas,Restaurante,25.98
2028-08-04,transporte,Restaurante,235.34
2028-08-05,alimentacao,Restaurante,359.09
2028-08-06,transporte,Compra,305.95
2028-08-07,lazer,Compra,231.58
2028-08-08,lazer,Assinatura mensal,373.8
2028-08-09,assinaturas,Farmácia,106.37
2028-08-10,transporte,Taxi/Uber,374.7
2028-08-11,alimentacao,Taxi/Uber,127.98
2028-08-12,saude,Assinatura mensal,166.31
2028-08-13,lazer,Taxi/Uber,62.15
2028-08-14,alimentacao,Restaurante,50.28
2028-08-15,mercado,Assinatura mensal,419.79
2028-08-16,assinaturas,Assinatura mensal,89.54
2028-08-17,alimentacao,Mercado,153.32
2028-08-18,assinaturas,Compra,240.47
2028-08-19,mercado,Farmácia,159.8
2028-08-20,alimentacao,Farmácia,392.21
2028-08-21,alimentacao,Compra,405.82
2028-08-22,saude,Restaurante,150.07
2028-08-23,mercado,Farmácia,45.95
2028-08-24,transporte,Taxi/Uber,98.52
2028-08-25,alimentacao,Taxi/Uber,216.1
2028-08-26,saude,Farmácia,133.37
2028-08-27,alimentacao,Mercado,206.8
2028-08-28,saude,Farmácia,342.62
2028-08-29,lazer,Assinatura mensal,192.18
2028-08-30,transporte,Restaurante,92.66
2028-08-31,alimentacao,Assinatura mensal,164.3
2028-09-01,mercado,Compra,335.63
2028-09-02,assinaturas,Restaurante,193.71
2028-09-03,mercado,Restaurante,116.04
2028-09-04,transporte,Taxi/Uber,195.2
2028-09-05,lazer,Restaurante,207.39
2028-09-06,lazer,Mercado,136.89
2028-09-07,lazer,Farmácia,448.08
2028-09-08,saude,Assinatura mensal,346.59
2028-09-09,mercado,Taxi/Uber,313.14
2028-09-10,assinaturas,Taxi/Uber,385.42
2028-09-11,assinaturas,Mercado,301.56
2028-09-12,saude,Mercado,356.99
2028-09-13,alimentacao,Mercado,188.57
2028-09-14,saude,Mercado,227.67
2028-09-15,assinaturas,Assinatura mensal,25.91
2028-09-16,assinaturas,Mercado,129.89
2028-09-17,alimentacao,Taxi/Uber,168.77
2028-09-18,mercado,Taxi/Uber,283.33
2028-09-19,mercado,Restaurante,211.57
2028-09-20,transporte,Farmácia,275.49
2028-09-21,mercado,Taxi/Uber,322.43
2028-09-22,lazer,Taxi/Uber,24.01
2028-09-23,lazer,Assinatura mensal,119.93
2028-09-24,transporte,Restaurante,81.05
2028-09-25,assinaturas,Taxi/Uber,88.42
2028-09-26,transporte,Compra,228.89
2028-09-27,alimentacao,Taxi/Uber,334.29
2028-09-28,transporte,Farmácia,126.39
2028-09-29,transporte,Farmácia,371.88
2028-09-30,saude,Restaurante,402.14
2028-10-01,lazer,Restaurante,160.99
2028-10-02,alimentacao,Mercado,308.2
2028-10-03,saude,Assinatura mensal,57.09
2028-10-04,alimentacao,Farmácia,336.09
2028-10-05,transporte,Compra,78.44
2028-10-06,saude,Compra,310.9
2028-10-07,saude,Mercado,192.75
2028-10-08,alimentacao,Assinatura mensal,418.16
2028-10-09,alimentacao,Assinatura mensal,211.68
2028-10-10,mercado,Restaurante,18.75
2028-10-11,alimentacao,Taxi/Uber,218.9
2028-10-12,saude,Compra,359.0
2028-10-13,assinaturas,Compra,292.95
2028-10-14,alimentacao,Compra,435.01
2028-10-15,lazer,Compra,380.26
2028-10-16,mercado,Farmácia,239.32
2028-10-17,lazer,Assinatura mensal,96.9
2028-10-18,lazer,Taxi/Uber,6.68
2028-10-19,assinaturas,Farmácia,441.32
2028-10-20,mercado,Assinatura mensal,422.55
2028-10-21,transporte,Mercado,126.99
2028-10-22,saude,Compra,289.01
2028-10-23,saude,Taxi/Uber,329.51
2028-10-24,alimentacao,Assinatura mensal,262.22
2028-10-25,saude,Mercado,380.12
2028-10-26,assinaturas,Compra,39.63
2028-10-27,saude,Mercado,403.94
2028-10-28,assinaturas,Mercado,179.45
2028-10-29,transporte,Farmácia,218.91
2028-10-30,assinaturas,Mercado,202.91
2028-10-31,transporte,Farmácia,241.42
2028-11-01,transporte,Restaurante,271.18
2028-11-02,transporte,Farmácia,321.1
2028-11-03,assinaturas,Mercado,238.6
2028-11-04,transporte,Assinatura mensal,309.72
2028-11-05,assinaturas,Mercado,155.54
2028-11-06,mercado,Mercado,421.82
2028-11-07,transporte,Assinatura mensal,33.72
2028-11-08,assinaturas,Compra,247.77
2028-11-09,assinaturas,Taxi/Uber,43.89
2028-11-10,assinaturas,Restaurante,202.03
2028-11-11,alimentacao,Compra,119.62
2028-11-12,alimentacao,Mercado,421.92
2028-11-13,transporte,Compra,10.82
2028-11-14,saude,Taxi/Uber,179.09
2028-11-15,mercado,Compra,353.01
2028-11-16,saude,Taxi/Uber,88.87
2028-11-17,transporte,Compra,367.94
2028-11-18,lazer,Farmácia,387.58
2028-11-19,lazer,Mercado,320.06
2028-11-20,mercado,Taxi/Uber,98.04
2028-11-21,mercado,Restaurante,126.06
2028-11-22,mercado,Mercado,79.29
2028-11-23,alimentacao,Farmácia,86.91
2028-11-24,alimentacao,Compra,21.24
2028-11-25,lazer,Mercado,386.51
2028-11-26,mercado,Compra,240.18
2028-11-27,assinaturas,Compra,150.85
2028-11-28,saude,Mercado,133.86
2028-11-29,lazer,Taxi/Uber,247.39
2028-11-30,mercado,Taxi/Uber,150.37
2028-12-01,assinaturas,Mercado,389.35
2028-12-02,mercado,Taxi/Uber,98.88
2028-12-03,transporte,Assinatura mensal,397.62
2028-12-04,assinaturas,Compra,300.52
2028-12-05,saude,Mercado,430.7
2028-12-06,transporte,Restaurante,11.72
2028-12-07,alimentacao,Farmácia,31.3
2028-12-08,lazer,Mercado,227.9
2028-12-09,mercado,Mercado,411.01
2028-12-10,lazer,Compra,330.2
2028-12-11,saude,Farmácia,281.85
2028-12-12,mercado,Compra,19.06
2028-12-13,transporte,Restaurante,162.6
2028-12-14,assinaturas,Taxi/Uber,158.9
2028-12-15,assinaturas,Mercado,246.23
2028-12-16,mercado,Compra,119.73
2028-12-17,transporte,Restaurante,123.88
2028-12-18,mercado,Restaurante,281.28
2028-12-19,mercado,Assinatura mensal,425.33
2028-12-20,mercado,Mercado,298.78
2028-12-21,assinaturas,Restaurante,302.32
2028-12-22,saude,Taxi/Uber,443.87
2028-12-23,mercado,Compra,73.3
2028-12-24,assinaturas,Compra,20.06
2028-12-25,alimentacao,Assinatura mensal,336.75
2028-12-26,transporte,Taxi/Uber,200.26
2028-12-27,alimentacao,Restaurante,195.83
2028-12-28,mercado,Assinatura mensal,105.26
2028-12-29,assinaturas,Restaurante,230.55
2028-12-30,transporte,Restaurante,201.77
2028-12-31,lazer,Mercado,158.73
2029-01-01,transporte,Farmácia,202.02
2029-01-02,transporte,Restaurante,175.81
2029-01-03,mercado,Compra,423.25
2029-01-04,alimentacao,Restaurante,441.21
2029-01-05,alimentacao,Assinatura mensal,378.76
2029-01-06,lazer,Restaurante,445.73
2029-01-07,mercado,Compra,123.25
2029-01-08,transporte,Compra,380.1
2029-01-09,saude,Assinatura mensal,185.95
2029-01-10,alimentacao,Compra,337.03
2029-01-11,alimentacao,Taxi/Uber,94.62
2029-01-12,assinaturas,Taxi/Uber,366.32
2029-01-13,transporte,Farmácia,42.14
2029-01-14,mercado,Taxi/Uber,125.4
2029-01-15,alimentacao,Assinatura mensal,370.77
2029-01-16,mercado,Restaurante,337.49
2029-01-17,transporte,Taxi/Uber,228.05
2029-01-18,transporte,Farmácia,304.39
2029-01-19,alimentacao,Mercado,87.58
2029-01-20,lazer,Mercado,302.15
2029-01-21,mercado,Assinatura mensal,8.55
2029-01-22,mercado,Farmácia,375.78
2029-01-23,assinaturas,Taxi/Uber,234.75
2029-01-24,transporte,Farmácia,425.03
2029-01-25,transporte,Compra,217.78
2029-01-26,alimentacao,Farmácia,197.72
2029-01-27,alimentacao,Taxi/Uber,205.27
2029-01-28,alimentacao,Assinatura mensal,165.08
2029-01-29,assinaturas,Compra,79.17
2029-01-30,lazer,Farmácia,379.72
2029-01-31,alimentacao,Mercado,178.14
2029-02-01,alimentacao,Taxi/Uber,240.45
2029-02-02,saude,Assinatura mensal,13.85
2029-02-03,alimentacao,Restaurante,31.81
2029-02-04,assinaturas,Taxi/Uber,270.75
2029-02-05,mercado,Farmácia,396.26
2029-02-06,lazer,Assinatura mensal,224.56
2029-02-07,mercado,Mercado,78.41
2029-02-08,saude,Compra,56.68
2029-02-09,transporte,Farmácia,405.41
2029-02-10,transporte,Assinatura mensal,317.23
2029-02-11,alimentacao,Compra,434.96
2029-02-12,saude,Assinatura mensal,41.65
2029-02-13,mercado,Restaurante,406.66
2029-02-14,assinaturas,Farmácia,381.31
2029-02-15,lazer,Assinatura mensal,402.47
2029-02-16,mercado,Mercado,7.56
2029-02-17,saude,Assinatura mensal,335.15
2029-02-18,saude,Farmácia,249.28
2029-02-19,mercado,Assinatura mensal,260.06
2029-02-20,lazer,Compra,213.79
2029-02-21,mercado,Compra,335.49
2029-02-22,mercado,Restaurante,449.93
2029-02-23,lazer,Taxi/Uber,321.19
2029-02-24,assinaturas,Restaurante,306.73
2029-02-25,saude,Taxi/Uber,296.22
2029-02-26,lazer,Mercado,314.37
2029-02-27,alimentacao,Compra,157.24
2029-02-28,alimentacao,Taxi/Uber,147.5
2029-03-01,alimentacao,Assinatura mensal,354.03
2029-03-02,alimentacao,Mercado,28.62
2029-03-03,transporte,Farmácia,342.87
2029-03-04,assinaturas,Taxi/Uber,367.16
2029-03-05,transporte,Restaurante,237.11
2029-03-06,mercado,Taxi/Uber,410.02
2029-03-07,mercado,Restaurante,215.52
2029-03-08,lazer,Restaurante,84.25
2029-03-09,alimentacao,Compra,165.82
2029-03-10,lazer,Mercado,408.11
2029-03-11,mercado,Restaurante,447.21
2029-03-12,alimentacao,Compra,192.73
2029-03-13,saude,Compra,79.25
2029-03-14,assinaturas,Restaurante,132.42
2029-03-15,mercado,Mercado,251.22
2029-03-16,saude,Assinatura mensal,259.58
2029-03-17,lazer,Taxi/Uber,285.38
2029-03-18,saude,Compra,376.73
2029-03-19,lazer,Taxi/Uber,321.49
2029-03-20,mercado,Mercado,121.07
2029-03-21,transporte,Assinatura mensal,180.79
2029-03-22,assinaturas,Farmácia,378.72
2029-03-23,saude,Assinatura mensal,286.86
2029-03-24,saude,Mercado,79.06
2029-03-25,mercado,Assinatura mensal,149.86
2029-03-26,mercado,Farmácia,357.04
2029-03-27,lazer,Compra,81.58
2029-03-28,alimentacao,Assinatura mensal,312.52
2029-03-29,alimentacao,Restaurante,255.77
2029-03-30,alimentacao,Restaurante,70.63
2029-03-31,lazer,Mercado,311.55
2029-04-01,alimentacao,Assinatura mensal,68.35
2029-04-02,mercado,Farmácia,182.3
2029-04-03,transporte,Mercado,142.31
2029-04-04,transporte,Assinatura mensal,312.05
2029-04-05,transporte,Mercado,353.15
2029-04-06,alimentacao,Restaurante,79.9
2029-04-07,transporte,Farmácia,366.34
2029-04-08,saude,Compra,8.21
2029-04-09,alimentacao,Farmácia,240.88
2029-04-10,saude,Compra,234.97
2029-04-11,mercado,Taxi/Uber,282.6
2029-04-12,saude,Restaurante,111.67
2029-04-13,mercado,Restaurante,9.39
2029-04-14,lazer,Restaurante,207.37
2029-04-15,lazer,Farmácia,36.78
2029-04-16,saude,Compra,402.03
2029-04-17,assinaturas,Taxi/Uber,82.28
2029-04-18,mercado,Taxi/Uber,194.23
2029-04-19,alimentacao,Taxi/Uber,198.13
2029-04-20,assinaturas,Mercado,251.02
2029-04-21,mercado,Farmácia,353.23
2029-04-22,alimentacao,Farmácia,215.11
2029-04-23,mercado,Restaurante,16.46
2029-04-24,mercado,Farmácia,348.14
2029-04-25,alimentacao,Farmácia,41.57
2029-04-26,mercado,Mercado,290.49
2029-04-27,mercado,Farmácia,362.53
2029-04-28,mercado,Compra,130.8
2029-04-29,lazer,Taxi/Uber,204.85
2029-04-30,transporte,Mercado,11.38
2029-05-01,mercado,Mercado,362.72
2029-05-02,alimentacao,Restaurante,317.95
2029-05-03,saude,Farmácia,107.97
2029-05-04,mercado,Taxi/Uber,178.65
2029-05-05,lazer,Compra,314.42
2029-05-06,lazer,Taxi/Uber,164.38
2029-05-07,saude,Assinatura mensal,77.27
2029-05-08,mercado,Taxi/Uber,235.73
2029-05-09,assinaturas,Compra,326.99
2029-05-10,saude,Compra,147.76
2029-05-11,transporte,Compra,59.19
2029-05-12,alimentacao,Mercado,374.15
2029-05-13,alimentacao,Mercado,117.5
2029-05-14,alimentacao,Assinatura mensal,233.2
2029-05-15,alimentacao,Taxi/Uber,312.65
2029-05-16,lazer,Farmácia,146.1
2029-05-17,transporte,Restaurante,293.64
2029-05-18,mercado,Assinatura mensal,209.57
2029-05-19,mercado,Farmácia,258.84
2029-05-20,assinaturas,Farmácia,267.81
2029-05-21,mercado,Assinatura mensal,371.75
2029-05-22,transporte,Taxi/Uber,297.07
2029-05-23,mercado,Restaurante,122.62
2029-05-24,lazer,Farmácia,31.52
2029-05-25,saude,Mercado,5.88
2029-05-26,mercado,Mercado,407.47
2029-05-27,alimentacao,Assinatura mensal,424.24
2029-05-28,alimentacao,Restaurante,46.88
2029-05-29,saude,Restaurante,221.74
2029-05-30,alimentacao,Farmácia,72.46
2029-05-31,alimentacao,Assinatura mensal,427.19
2029-06-01,lazer,Restaurante,114.84
2029-06-02,lazer,Restaurante,228.23
2029-06-03,lazer,Mercado,78.7
2029-06-04,mercado,Assinatura mensal,153.08
2029-06-05,saude,Farmácia,123.73
2029-06-06,alimentacao,Farmácia,216.56
2029-06-07,assinaturas,Mercado,191.8
2029-06-08,saude,Compra,152.21
2029-06-09,assinaturas,Compra,52.12
2029-06-10,alimentacao,Restaurante,220.6
2029-06-11,transporte,Taxi/Uber,383.34
2029-06-12,saude,Mercado,329.95
2029-06-13,mercado,Taxi/Uber,325.66
2029-06-14,assinaturas,Restaurante,167.91
2029-06-15,saude,Mercado,320.25
2029-06-16,saude,Farmácia,212.16
2029-06-17,lazer,Mercado,71.87
2029-06-18,transporte,Assinatura mensal,191.48
2029-06-19,lazer,Taxi/Uber,64.07
2029-06-20,transporte,Mercado,55.94
2029-06-21,transporte,Taxi/Uber,15.26
2029-06-22,mercado,Restaurante,130.87
2029-06-23,saude,Mercado,152.24
2029-06-24,lazer,Compra,316.25
2029-06-25,lazer,Taxi/Uber,244.41
2029-06-26,assinaturas,Farmácia,387.01
2029-06-27,saude,Farmácia,83.53
2029-06-28,alimentacao,Mercado,123.35
2029-06-29,alimentacao,Farmácia,423.78
2029-06-30,assinaturas,Farmácia,202.6
2029-07-01,transporte,Taxi/Uber,356.13
2029-07-02,assinaturas,Mercado,224.01
2029-07-03,assinaturas,Taxi/Uber,214.63
2029-07-04,lazer,Mercado,70.91
2029-07-05,assinaturas,Farmácia,383.78
2029-07-06,transporte,Mercado,39.87
2029-07-07,alimentacao,Restaurante,143.07
2029-07-08,mercado,Mercado,304.69
2029-07-09,saude,Assinatura mensal,230.73
2029-07-10,assinaturas,Mercado,397.21
2029-07-11,saude,Assinatura mensal,22.49
2029-07-12,assinaturas,Taxi/Uber,293.99
2029-07-13,saude,Assinatura mensal,217.47
2029-07-14,lazer,Taxi/Uber,73.67
2029-07-15,lazer,Mercado,335.75
2029-07-16,saude,Taxi/Uber,188.03
2029-07-17,assinaturas,Farmácia,241.55
2029-07-18,assinaturas,Restaurante,435.43
2029-07-19,transporte,Mercado,221.37
2029-07-20,alimentacao,Assinatura mensal,371.4
2029-07-21,alimentacao,Restaurante,347.46
2029-07-22,mercado,Compra,299.93
2029-07-23,alimentacao,Restaurante,404.08
2029-07-24,mercado,Mercado,116.96
2029-07-25,lazer,Restaurante,370.24
2029-07-26,mercado,Restaurante,173.12
2029-07-27,mercado,Farmácia,366.56
2029-07-28,alimentacao,Taxi/Uber,224.74
2029-07-29,assinaturas,Restaurante,386.68
2029-07-30,lazer,Assinatura mensal,403.21
2029-07-31,transporte,Assinatura mensal,270.95
2029-08-01,mercado,Farmácia,230.89
2029-08-02,mercado,Restaurante,353.56
2029-08-03,saude,Restaurante,123.81
2029-08-04,mercado,Farmácia,11.83
2029-08-05,assinaturas,Mercado,186.16
2029-08-06,transporte,Compra,230.96
2029-08-07,saude,Compra,137.28
2029-08-08,alimentacao,Taxi/Uber,175.6
2029-08-09,lazer,Assinatura mensal,64.21
2029-08-10,assinaturas,Mercado,128.39
2029-08-11,transporte,Assinatura mensal,111.84
2029-08-12,lazer,Mercado,138.94
2029-08-13,alimentacao,Farmácia,138.08
2029-08-14,lazer,Taxi/Uber,253.74
2029-08-15,saude,Farmácia,116.52
2029-08-16,mercado,Assinatura mensal,423.73
2029-08-17,mercado,Taxi/Uber,232.52
2029-08-18,assinaturas,Restaurante,62.39
2029-08-19,lazer,Mercado,129.42
2029-08-20,mercado,Mercado,329.74
2029-08-21,assinaturas,Taxi/Uber,11.08
2029-08-22,assinaturas,Farmácia,422.33
2029-08-23,saude,Taxi/Uber,203.1
2029-08-24,assinaturas,Farmácia,236.88
2029-08-25,alimentacao,Taxi/Uber,444.84
2029-08-26,mercado,Farmácia,229.01
2029-08-27,mercado,Compra,426.75
2029-08-28,transporte,Taxi/Uber,412.28
2029-08-29,alimentacao,Farmácia,423.89
2029-08-30,mercado,Restaurante,366.51
2029-08-31,saude,Assinatura mensal,136.9
2029-09-01,mercado,Assinatura mensal,159.14
2029-09-02,transporte,Taxi/Uber,167.42
2029-09-03,lazer,Taxi/Uber,440.74
2029-09-04,lazer,Mercado,165.54
2029-09-05,alimentacao,Farmácia,53.37
2029-09-06,assinaturas,Taxi/Uber,351.36
2029-09-07,transporte,Assinatura mensal,167.9
2029-09-08,transporte,Assinatura mensal,281.32
2029-09-09,mercado,Assinatura mensal,416.34
2029-09-10,saude,Farmácia,261.1
2029-09-11,mercado,Compra,288.78
2029-09-12,saude,Taxi/Uber,291.07
2029-09-13,transporte,Compra,277.52
2029-09-14,assinaturas,Farmácia,76.1
2029-09-15,lazer,Restaurante,208.1
2029-09-16,alimentacao,Taxi/Uber,8.41
2029-09-17,saude,Mercado,283.69
2029-09-18,lazer,Taxi/Uber,261.03
2029-09-19,alimentacao,Taxi/Uber,146.57
2029-09-20,assinaturas,Taxi/Uber,238.13
2029-09-21,transporte,Taxi/Uber,224.41
2029-09-22,assinaturas,Restaurante,116.66
2029-09-23,saude,Taxi/Uber,135.51
2029-09-24,transporte,Farmácia,344.33
2029-09-25,mercado,Taxi/Uber,341.3
2029-09-26,alimentacao,Restaurante,214.05
2029-09-27,mercado,Farmácia,324.29
2029-09-28,transporte,Taxi/Uber,205.61
2029-09-29,alimentacao,Taxi/Uber,383.86
2029-09-30,alimentacao,Farmácia,153.1
2029-10-01,mercado,Taxi/Uber,417.65
2029-10-02,alimentacao,Restaurante,246.32
2029-10-03,transporte,Assinatura mensal,243.38
2029-10-04,saude,Taxi/Uber,303.51
2029-10-05,saude,Mercado,156.68
2029-10-06,transporte,Farmácia,327.33
2029-10-07,mercado,Restaurante,147.59
2029-10-08,assinaturas,Taxi/Uber,181.9
2029-10-09,transporte,Taxi/Uber,305.24
2029-10-10,saude,Farmácia,173.41
2029-10-11,transporte,Compra,93.99
2029-10-12,alimentacao,Restaurante,393.0
2029-10-13,alimentacao,Restaurante,415.36
2029-10-14,transporte,Assinatura mensal,283.9
2029-10-15,mercado,Assinatura mensal,365.96
2029-10-16,assinaturas,Taxi/Uber,444.06
2029-10-17,alimentacao,Farmácia,278.57
2029-10-18,saude,Mercado,409.41
2029-10-19,alimentacao,Taxi/Uber,164.87
2029-10-20,saude,Assinatura mensal,316.71
2029-10-21,assinaturas,Taxi/Uber,29.83
2029-10-22,alimentacao,Farmácia,356.09
2029-10-23,mercado,Restaurante,374.26
2029-10-24,saude,Restaurante,183.52
2029-10-25,alimentacao,Restaurante,289.33
2029-10-26,alimentacao,Restaurante,386.97
2029-10-27,transporte,Mercado,398.21
2029-10-28,mercado,Compra,52.41
2029-10-29,mercado,Mercado,373.23
2029-10-30,transporte,Taxi/Uber,127.04
2029-10-31,saude,Assinatura mensal,328.65
2029-11-01,lazer,Farmácia,149.7
2029-11-02,assinaturas,Taxi/Uber,30.07
2029-11-03,mercado,Compra,98.39
2029-11-04,lazer,Farmácia,186.86
2029-11-05,saude,Farmácia,334.85
2029-11-06,assinaturas,Farmácia,49.81
2029-11-07,mercado,Taxi/Uber,366.76
2029-11-08,alimentacao,Compra,448.64
2029-11-09,mercado,Taxi/Uber,355.77
2029-11-10,assinaturas,Farmácia,215.81
2029-11-11,lazer,Farmácia,257.83
2029-11-12,alimentacao,Assinatura mensal,7.74
2029-11-13,assinaturas,Mercado,98.13
2029-11-14,saude,Taxi/Uber,405.05
2029-11-15,assinaturas,Compra,14.67
2029-11-16,mercado,Farmácia,407.63
2029-11-17,saude,Taxi/Uber,55.4
2029-11-18,transporte,Mercado,64.22
2029-11-19,transporte,Taxi/Uber,83.03
2029-11-20,alimentacao,Mercado,360.73
2029-11-21,assinaturas,Taxi/Uber,217.79
2029-11-22,lazer,Assinatura mensal,69.61
2029-11-23,alimentacao,Taxi/Uber,310.63
2029-11-24,saude,Restaurante,423.61
2029-11-25,alimentacao,Assinatura mensal,259.74
2029-11-26,mercado,Mercado,48.92
2029-11-27,saude,Farmácia,29.36
2029-11-28,lazer,Farmácia,359.16
2029-11-29,assinaturas,Taxi/Uber,283.61
2029-11-30,saude,Compra,415.58
2029-12-01,assinaturas,Taxi/Uber,248.53
2029-12-02,assinaturas,Assinatura mensal,32.77
2029-12-03,alimentacao,Assinatura mensal,184.64
2029-12-04,mercado,Mercado,297.81
2029-12-05,alimentacao,Taxi/Uber,176.27
2029-12-06,transporte,Mercado,449.82
2029-12-07,transporte,Compra,185.39
2029-12-08,assinaturas,Farmácia,248.08
2029-12-09,mercado,Farmácia,105.3
2029-12-10,saude,Taxi/Uber,72.7
2029-12-11,assinaturas,Mercado,292.16
2029-12-12,saude,Mercado,266.93
2029-12-13,assinaturas,Compra,6.93
2029-12-14,alimentacao,Mercado,131.73
2029-12-15,assinaturas,Restaurante,291.39
2029-12-16,assinaturas,Restaurante,366.45
2029-12-17,mercado,Assinatura mensal,144.0
2029-12-18,mercado,Restaurante,293.11
2029-12-19,saude,Restaurante,123.04
2029-12-20,mercado,Assinatura mensal,312.22
2029-12-21,assinaturas,Restaurante,315.59
2029-12-22,mercado,Restaurante,62.95
2029-12-23,mercado,Assinatura mensal,300.96
2029-12-24,lazer,Taxi/Uber,153.44
2029-12-25,lazer,Assinatura mensal,81.8
2029-12-26,transporte,Assinatura mensal,227.66
2029-12-27,alimentacao,Restaurante,206.27
2029-12-28,alimentacao,Farmácia,349.37
2029-12-29,mercado,Restaurante,42.61
2029-12-30,transporte,Taxi/Uber,356.44
2029-12-31,transporte,Assinatura mensal,52.21
2030-01-01,saude,Compra,97.32
2030-01-02,lazer,Assinatura mensal,234.57
2030-01-03,transporte,Taxi/Uber,211.11
2030-01-04,assinaturas,Mercado,445.04
2030-01-05,saude,Restaurante,267.32
2030-01-06,mercado,Farmácia,150.71
2030-01-07,assinaturas,Farmácia,405.57
2030-01-08,alimentacao,Restaurante,143.94
2030-01-09,lazer,Restaurante,126.83
2030-01-10,assinaturas,Taxi/Uber,225.0
2030-01-11,mercado,Assinatura mensal,411.36
2030-01-12,assinaturas,Compra,320.29
2030-01-13,assinaturas,Assinatura mensal,306.48
2030-01-14,transporte,Assinatura mensal,328.1
2030-01-15,lazer,Compra,298.54
2030-01-16,alimentacao,Farmácia,343.11
2030-01-17,mercado,Assinatura mensal,90.78
2030-01-18,saude,Mercado,83.88
2030-01-19,saude,Mercado,166.16
2030-01-20,mercado,Taxi/Uber,383.68
2030-01-21,alimentacao,Taxi/Uber,322.93
2030-01-22,mercado,Compra,257.08
2030-01-23,transporte,Compra,13.65
2030-01-24,saude,Taxi/Uber,109.93
2030-01-25,saude,Restaurante,362.56
2030-01-26,assinaturas,Assinatura mensal,112.91
2030-01-27,transporte,Restaurante,329.98
2030-01-28,saude,Farmácia,87.16
2030-01-29,transporte,Mercado,274.83
2030-01-30,transporte,Compra,284.55
